university,career,inscription_date,gender,age,location,email,first_name,last_name
universidad tecnológica nacional,medicina,2020-11-15,male,78,san mayol,moraneric@yahoo.com,michael,robertson
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-10-24,male,58,capitan castro,hbrown@gmail.com,patrick,stephenson
universidad tecnológica nacional,contador público,2020-10-13,male,44,chanilao,amarshall@gmail.com,paul,jordan
universidad tecnológica nacional,contador público,2020-11-14,male,105,cerrillos al sud,kaylee84@yahoo.com,eric,rogers
universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-23,female,53,langueyu,elizabeth86@yahoo.com,kathryn,lucas
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-12-15,female,63,cavour,pam05@gmail.com,kathryn,smith
universidad tecnológica nacional,diseño de imagen y sonido,2020-09-01,female,67,la california,david80@gmail.com,megan,henderson
universidad tecnológica nacional,diseño de imagen y sonido,2020-12-06,male,54,barrio emir ramon juarez,qmorrison@gmail.com,sean,clements
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-23,male,3,arroyo canelon,krobinson@hotmail.com,matthew,taylor
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-12-17,male,49,abra,smartinez@gmail.com,richard,neal
universidad tecnológica nacional,contador público,2020-10-24,female,111,9 de julio,rmejia@yahoo.com,hannah,pena
universidad tecnológica nacional,contador público,2020-12-07,male,113,el araza,woodmary@hotmail.com,anthony,gill
universidad tecnológica nacional,ingeniería mecánica,2020-12-01,female,55,chancay,jacobramos@gmail.com,lisa,brown
universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-09-25,female,44,caraguatay,ldillon@gmail.com,kim,miller
universidad tecnológica nacional,licenciatura en musicoterapia,2020-10-26,male,86,blaquier,robert51@gmail.com,david,cole
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-12-15,male,4,10 de mayo,mcculloughjodi@hotmail.com,benjamin,mitchell
universidad tecnológica nacional,ingeniería electrónica,2020-11-29,female,17,alejandra,vincentnicholas@hotmail.com,danielle,harris
universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-10-29,male,32,25 de mayo,xhancock@yahoo.com,russell,paul
universidad tecnológica nacional,diseño industrial,2020-09-16,female,83,colonia clara,amandacharles@gmail.com,elizabeth,smith
universidad tecnológica nacional,licenciatura en psicología,2021-01-15,male,2,agua del simbol,dcollins@gmail.com,caleb,adams
universidad tecnológica nacional,ingeniería en informática,2020-11-05,male,64,angaco norte,jamesallen@gmail.com,brian,howell
universidad tecnológica nacional,licenciatura en ciencia política,2020-10-09,male,101,aldea san gregorio,katherine08@gmail.com,robert,douglas
universidad tecnológica nacional,ingeniería electrónica,2020-09-07,male,56,arroyo canelon,westrebecca@gmail.com,tyler,robinson
universidad tecnológica nacional,licenciatura en ciencia política,2020-09-30,male,72,colonia mackinlay,graydaniel@gmail.com,steven,matthews
universidad tecnológica nacional,medicina,2020-12-11,female,69,aguapey,yfoley@gmail.com,christina,gibson
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-12-15,female,9,9 de julio kilometro 20,heidi38@yahoo.com,stacey,khan
universidad tecnológica nacional,ciencias veterinarias,2021-01-31,male,32,centro comunitario cnia nue,qconway@gmail.com,daniel,kim
universidad tecnológica nacional,licenciatura en musicoterapia,2020-12-22,male,17,alcaraz 1ro,oscarchoi@yahoo.com,keith,roman
universidad tecnológica nacional,bioquímica,2020-11-05,male,94,almacen castro,nmccarthy@gmail.com,joshua,harris
universidad tecnológica nacional,licenciatura en ciencia política,2020-10-14,female,30,avena,lawsonjoshua@gmail.com,catherine,kelley
universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-05,female,20,cabo san fermin,richardsonamanda@gmail.com,jordan,nguyen
universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-09-09,male,64,colonia beaufort,maryfox@gmail.com,leonard,campbell
universidad tecnológica nacional,diseño industrial,2021-01-27,male,20,la pelada,alexandria72@hotmail.com,eric,stout
universidad tecnológica nacional,diseño de imagen y sonido,2020-11-17,male,14,10 de mayo,jeffreykelley@hotmail.com,david,miller
universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-03,male,7,atencio,butlersarah@hotmail.com,dr.,brandon
universidad tecnológica nacional,licenciatura en musicoterapia,2020-11-21,male,57,empalme frontera,starkstacey@gmail.com,daniel,warner
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-11-15,male,89,cushamen,jennifer24@yahoo.com,daniel,smith
universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-12-17,male,115,alejandro petion,michaelmacdonald@yahoo.com,aaron,hansen
universidad tecnológica nacional,licenciatura en ciencias de la educación,2021-01-27,female,18,batelito,lacey88@hotmail.com,linda,bryant
universidad tecnológica nacional,contador público,2020-12-22,female,93,casira,john66@gmail.com,rebecca,hooper
universidad tecnológica nacional,contador público,2020-10-06,female,27,cerana,udaniels@gmail.com,brooke,bailey
universidad tecnológica nacional,licenciatura en ciencia política,2020-11-14,male,51,alto grande,kennethgreen@yahoo.com,brian,lopez
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2021-02-01,male,92,doctor domingo harosteguy,lporter@yahoo.com,eric,shaw
universidad tecnológica nacional,contador público,2021-01-07,male,6,coronel granada,william23@gmail.com,mark,jones
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2021-01-04,male,97,ampata,reiddarren@gmail.com,richard,livingston
universidad tecnológica nacional,agronomía,2020-12-22,male,27,arroyo las minas,ystevens@yahoo.com,larry,taylor
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-11-19,female,78,colpes,imcdowell@gmail.com,jennifer,hardin
universidad tecnológica nacional,técnico para bioterios,2020-11-26,male,3,capitan montoya,fordkathy@hotmail.com,thomas,gillespie
universidad tecnológica nacional,bioquímica,2020-09-16,female,79,centenario,daniel90@gmail.com,mary,harris
universidad tecnológica nacional,agronomía,2020-10-18,male,109,bernal este,michaelmckay@gmail.com,daniel,macias
universidad tecnológica nacional,licenciatura en terapia ocupacional,2021-01-08,female,98,alberto flores,jacobsonpamela@yahoo.com,melanie,wilkins
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-11-19,male,79,anasagasti,kking@yahoo.com,andre,lewis
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-12-21,male,115,colonia valdez,fsanchez@yahoo.com,carlos,downs
universidad tecnológica nacional,técnico para bioterios,2020-09-22,female,67,bañadito viejo,morenowendy@yahoo.com,lori,collins
universidad tecnológica nacional,diseño industrial,2021-01-18,male,50,algarrobo,sarahpeterson@yahoo.com,joshua,lawrence
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-09-09,male,46,colonia hardy,stevensalexander@hotmail.com,joel,garcia
universidad tecnológica nacional,ingeniería electrónica,2020-11-27,female,104,paso telegrafo,wilkinsonjoseph@gmail.com,elizabeth,smith
universidad tecnológica nacional,diseño de imagen y sonido,2020-09-02,female,97,alto de las arañas,moralesivan@hotmail.com,jessica,parsons
universidad tecnológica nacional,licenciatura en musicoterapia,2021-01-05,male,17,colonia el simbol,amy91@hotmail.com,wesley,bradley
universidad tecnológica nacional,licenciatura en ciencia política,2020-10-10,female,12,el guanaco,petersonnicole@gmail.com,brandi,evans
universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-10-10,male,55,arroyo corralito,wolfjenny@yahoo.com,david,lawrence
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-12-08,male,17,colonia adolfo alsina,christopher64@yahoo.com,john,vasquez
universidad tecnológica nacional,licenciatura en ciencia política,2020-09-18,female,62,basail,whitesean@yahoo.com,chelsea,ray
universidad tecnológica nacional,diseño de imagen y sonido,2020-10-15,female,30,campo la lima,matthewsmary@gmail.com,taylor,bennett
universidad tecnológica nacional,licenciatura en sociología,2020-10-16,female,22,campo del norte americano,chadcummings@gmail.com,summer,klein
universidad tecnológica nacional,medicina,2020-10-22,male,64,el potrero,elizabeth32@yahoo.com,john,ford
universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-11-20,female,3,abipones,tmorton@gmail.com,kathryn,jones
universidad tecnológica nacional,técnico para bioterios,2020-11-09,female,12,aconquija,timothy89@gmail.com,katelyn,alexander
universidad tecnológica nacional,contador público,2020-09-11,male,48,colonia los sauces,mwolf@gmail.com,brian,mason
universidad tecnológica nacional,diseño de imagen y sonido,2020-10-26,female,86,atreuco,alijulie@yahoo.com,janice,lara
universidad tecnológica nacional,ingeniería en informática,2020-11-15,male,46,17 de agosto,thomasamber@hotmail.com,donald,eaton
universidad tecnológica nacional,agronomía,2020-10-20,male,28,banda varela,smontgomery@yahoo.com,ronald,baldwin
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-09-23,female,61,canning,jeffreykrause@gmail.com,cheryl,smith
universidad tecnológica nacional,farmacia,2020-10-04,male,64,9 de abril,oashley@gmail.com,kyle,sellers
universidad tecnológica nacional,técnico para bioterios,2020-11-30,male,99,estacion christophersen,johnhodges@yahoo.com,andrew,martin
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-09-18,female,100,chivilcoy,samantha49@gmail.com,brianna,harrison
universidad tecnológica nacional,licenciatura en artes,2020-10-28,male,2,kilometro 125,fgilmore@yahoo.com,anthony,shah
universidad tecnológica nacional,licenciatura en artes,2020-10-15,male,110,banda florida,leblancrachel@gmail.com,ryan,hernandez
universidad tecnológica nacional,ciencias veterinarias,2020-10-02,male,20,comodoro rivadavia,bhancock@gmail.com,michael,knight
universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-23,female,15,costa del este,swebb@yahoo.com,katie,hall
universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-09-01,female,49,jose leon suarez,gordonhale@yahoo.com,nicole,herrera
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-11-04,male,79,arrayanal,heather84@gmail.com,albert,mueller
universidad tecnológica nacional,diseño industrial,2020-11-10,male,83,balsa,fanderson@yahoo.com,tom,boyd
universidad tecnológica nacional,arquitectura,2021-01-26,female,62,el trebol,glee@hotmail.com,anna,maynard
universidad tecnológica nacional,licenciatura en ciencia política,2020-10-05,male,87,el sombrerito,annamcdowell@gmail.com,michael,vaughn
universidad tecnológica nacional,licenciatura en ciencias biológicas,2021-01-21,male,85,barrio el tontal,andreewing@yahoo.com,jonathan,steele
universidad tecnológica nacional,ingeniería mecánica,2020-12-25,female,97,granadero baigorria,anna33@yahoo.com,lori,smith
universidad tecnológica nacional,medicina,2020-12-01,male,23,calera,vjohnson@yahoo.com,timothy,james
universidad tecnológica nacional,licenciatura en psicología,2020-09-13,male,66,isidro casanova,hschmitt@yahoo.com,nicholas,thompson
universidad tecnológica nacional,bioquímica,2020-10-01,female,97,antonio tomas sud,fnielsen@gmail.com,tiffany,glover
universidad tecnológica nacional,diseño industrial,2020-11-23,female,92,agua rica,alexandersharp@gmail.com,stephanie,banks
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-10-17,male,48,san francisco solano,petersenstephanie@hotmail.com,donald,burton
universidad tecnológica nacional,ciencias veterinarias,2020-12-31,female,55,chumbicha,davidtanner@hotmail.com,melanie,ellison
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-11-11,female,56,boca p 25,harristanya@gmail.com,kara,watson
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-12-23,female,97,estela,inguyen@yahoo.com,amy,miller
universidad tecnológica nacional,licenciatura en musicoterapia,2021-01-02,male,107,temperley,jacksonkristina@gmail.com,james,bowman
universidad tecnológica nacional,técnico para bioterios,2020-11-28,male,89,cachel,cervantesloretta@yahoo.com,michael,johnson
universidad tecnológica nacional,ingeniería en informática,2020-12-20,female,60,alto del puesto,mark05@yahoo.com,heidi,byrd
universidad tecnológica nacional,medicina,2020-12-01,female,38,campo galloso,davidsimmons@gmail.com,sarah,davis
universidad tecnológica nacional,diseño industrial,2020-10-29,male,30,leubuco,stephanietrujillo@yahoo.com,paul,taylor
universidad tecnológica nacional,diseño industrial,2020-11-27,male,37,cristolia,xjones@yahoo.com,robert,butler
universidad tecnológica nacional,bioquímica,2020-12-05,female,70,espartillar,samantha14@hotmail.com,julie,wilson
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-12-03,male,41,san genaro norte,kwhite@yahoo.com,stuart,butler
universidad tecnológica nacional,ingeniería en informática,2020-11-09,male,103,juancho,theresaduncan@hotmail.com,kevin,alvarado
universidad tecnológica nacional,licenciatura en artes,2020-10-14,male,10,colonia loma negra,xpowell@gmail.com,isaac,bailey
universidad tecnológica nacional,licenciatura en ciencias geológicas,2021-01-23,male,113,antumpa,brittanysmith@yahoo.com,justin,thomas
universidad tecnológica nacional,medicina,2020-10-04,male,98,cabaña el cisne,morenobrad@hotmail.com,jason,liu
universidad tecnológica nacional,licenciatura en artes,2020-09-15,male,67,villa dominico,samuelfields@yahoo.com,charles,thompson
universidad tecnológica nacional,ingeniería electrónica,2020-10-04,male,44,arroyo quintana,danielstewart@yahoo.com,trevor,jacobs
universidad tecnológica nacional,contador público,2020-11-27,female,90,alto calilegua,awallace@yahoo.com,nicole,stanton
universidad tecnológica nacional,ciencias veterinarias,2020-12-02,male,104,cora,vsantiago@gmail.com,shannon,west
universidad tecnológica nacional,bioquímica,2021-01-11,female,109,cachiyuyal,joshua90@yahoo.com,rachel,brown
universidad tecnológica nacional,licenciatura en ciencia política,2020-10-25,male,37,aguada de la peña,adamwerner@hotmail.com,anthony,snyder
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-12-02,female,84,el brete,emay@gmail.com,julie,jensen
universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-18,male,58,arturo vatteone,pamelabarrett@hotmail.com,kevin,vazquez
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-11-12,male,49,acasape,jamesdennis@hotmail.com,john,hogan
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-10-26,female,44,aguas buenas,derricklawrence@hotmail.com,lauren,smith
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-12-18,male,106,campo medina,krivera@hotmail.com,william,kennedy
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-19,female,33,colonia el potrero,hrasmussen@gmail.com,kristen,carter
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2021-01-07,female,99,ingeniero beaugey,adam29@gmail.com,lauren,navarro
universidad tecnológica nacional,agronomía,2020-10-10,male,21,campo el mataco,kimberlyvalencia@yahoo.com,michael,nelson
universidad tecnológica nacional,diseño industrial,2021-01-10,female,11,chanilao,kyliegriffin@yahoo.com,nancy,davis
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-11-07,male,40,coronel granada,jasminetrujillo@hotmail.com,anthony,parks
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-10-22,female,63,estacion mazan,ronald40@hotmail.com,victoria,clay
universidad tecnológica nacional,medicina,2020-10-23,female,95,23 de agosto,rachelrussell@hotmail.com,amber,chandler
universidad tecnológica nacional,ingeniería en informática,2020-12-07,male,95,lomas de zamora,evan63@hotmail.com,jonathan,alvarez
universidad tecnológica nacional,licenciatura en terapia ocupacional,2021-02-01,male,39,colonia rusa,francisdillon@yahoo.com,robert,williams
universidad tecnológica nacional,farmacia,2021-01-01,male,66,barro negro,tmckenzie@yahoo.com,chad,brooks
universidad tecnológica nacional,farmacia,2020-11-18,male,108,perez,ibrown@gmail.com,christopher,murphy
universidad tecnológica nacional,licenciatura en administración,2020-10-19,male,3,alpasinche,sandovalmelissa@gmail.com,justin,smith
universidad tecnológica nacional,ingeniería mecánica,2020-12-19,male,3,carreras,alex17@hotmail.com,anthony,williams
universidad tecnológica nacional,licenciatura en psicología,2020-12-23,male,101,chelforo,terry64@yahoo.com,larry,martinez
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-21,male,44,cachel,randychang@gmail.com,christopher,ramos
universidad tecnológica nacional,ciencias veterinarias,2021-02-01,female,87,cerana,bellsarah@hotmail.com,melissa,meza
universidad tecnológica nacional,farmacia,2021-01-20,male,82,arroyo pescado,paynejoseph@yahoo.com,mark,trevino
universidad tecnológica nacional,técnico para bioterios,2020-10-25,male,97,estancia las isletas,bmoore@hotmail.com,joseph,durham
universidad tecnológica nacional,farmacia,2020-10-06,female,17,22 de diciembre,harrisnicole@gmail.com,diana,rodriguez
universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-11-09,male,64,arenoso,garnererica@hotmail.com,joel,greene
universidad tecnológica nacional,licenciatura en psicología,2020-10-22,male,40,valle de las leñas,ddavidson@hotmail.com,anthony,powell
universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-29,female,71,atreuco,zriddle@hotmail.com,diane,davis
universidad tecnológica nacional,licenciatura en musicoterapia,2020-09-30,male,83,campo de los andes,crystalnichols@hotmail.com,david,marks
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-10-14,male,39,baldes de pacheco,sierrabarrett@yahoo.com,jason,pierce
universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-12,male,103,arbol solo,thomas72@yahoo.com,jake,phillips
universidad tecnológica nacional,técnico para bioterios,2020-12-27,male,59,abo nezu,carriebaker@hotmail.com,kevin,perez
universidad tecnológica nacional,actuario,2020-10-13,male,10,alma grande,michael15@hotmail.com,reginald,ward
universidad tecnológica nacional,licenciatura en ciencia política,2020-11-02,female,61,almacen cristian schubert,joelmccoy@gmail.com,ellen,atkins
universidad tecnológica nacional,ciencias veterinarias,2020-12-27,female,52,campo huber,aprilgardner@yahoo.com,melissa,mann
universidad tecnológica nacional,ciencias veterinarias,2020-10-24,male,74,campo el bermejo,fieldsjennifer@hotmail.com,mr.,jordan
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-10-02,female,68,olascoaga,riveradustin@yahoo.com,caitlyn,allen
universidad tecnológica nacional,licenciatura en musicoterapia,2020-11-02,female,33,cespedes,daniel11@gmail.com,nicole,foster
universidad tecnológica nacional,licenciatura en musicoterapia,2020-10-28,male,100,jose maria blanco,ryan49@gmail.com,jared,reynolds
universidad tecnológica nacional,técnico para bioterios,2021-01-05,male,78,cavour,martinwesley@yahoo.com,gary,perry
universidad tecnológica nacional,farmacia,2020-09-04,female,18,algarrobo,judith31@gmail.com,erin,ellis
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-09-22,male,97,alcaracito,pcampbell@yahoo.com,larry,hays
universidad tecnológica nacional,medicina,2020-09-28,male,73,agua blanca,alex40@gmail.com,zachary,thomas
universidad tecnológica nacional,diseño de imagen y sonido,2020-09-29,male,4,crispi,wyattjavier@gmail.com,keith,crawford
universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-10-03,female,72,aldea santa maria,hblake@hotmail.com,kelsey,allen
universidad tecnológica nacional,contador público,2021-01-21,female,71,aldea brasilera,daniel63@gmail.com,cheryl,welch
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-12-13,male,102,la limpia,michaelmitchell@yahoo.com,andrew,harris
universidad tecnológica nacional,licenciatura en ciencia política,2020-11-04,female,3,el bombero,mistyking@hotmail.com,eileen,howard
universidad tecnológica nacional,ingeniería mecánica,2020-11-04,male,60,agua del simbol,imoses@yahoo.com,dennis,martinez
universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-29,female,32,edmundo perkins,aaguirre@yahoo.com,michelle,peterson
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-12-15,male,49,cañadita,sullivannancy@gmail.com,grant,pena
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-10-11,female,48,aguada cecilio,elizabethlopez@gmail.com,darlene,nunez
universidad tecnológica nacional,licenciatura en artes,2020-09-16,male,37,cafferata,jesse05@hotmail.com,mr.,brandon
universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-09-16,male,87,aromos,dylanmiller@yahoo.com,mark,ross
universidad tecnológica nacional,licenciatura en psicología,2020-10-29,female,88,25 de mayo,xjuarez@hotmail.com,meredith,brown
universidad tecnológica nacional,diseño industrial,2021-01-10,male,4,colonia japonesa,christopher09@gmail.com,john,jones
universidad tecnológica nacional,contador público,2020-10-23,male,22,san fernando,pricegregory@hotmail.com,johnathan,hernandez
universidad tecnológica nacional,licenciatura en administración,2020-10-13,male,46,aldea san jorge,lisamcpherson@yahoo.com,gregory,christensen
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-10-27,female,81,el alto,ronaldbrown@gmail.com,jennifer,christian
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-09-03,female,9,alegre,sandovallisa@gmail.com,michelle,thomas
universidad tecnológica nacional,diseño de imagen y sonido,2020-10-19,female,23,9 de julio,robertlawson@yahoo.com,connie,chapman
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-11-13,male,98,4 de febrero,jdavis@yahoo.com,spencer,ramirez
universidad tecnológica nacional,farmacia,2020-09-22,male,41,cupiles,fyoung@hotmail.com,matthew,franklin
universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-10-09,male,116,luis guillon,daltongarza@yahoo.com,jason,lucero
universidad tecnológica nacional,diseño de imagen y sonido,2020-11-26,female,2,alcaraz norte,morganjennifer@yahoo.com,patricia,patel
universidad tecnológica nacional,licenciatura en ciencias geológicas,2021-01-12,male,104,angelita,daniel15@gmail.com,jesse,sanchez
universidad tecnológica nacional,licenciatura en ciencia política,2020-11-03,female,91,san andres,wsmith@gmail.com,dominique,jackson
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-09-19,male,117,wheelwright,tamara67@gmail.com,alexander,dunn
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-12-01,female,102,el campamento,twilson@hotmail.com,kimberly,jennings
universidad tecnológica nacional,ingeniería electrónica,2021-01-08,male,99,camaron chico,jason00@gmail.com,patrick,howard
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-12-06,male,37,del valle,joshua68@gmail.com,ronald,parker
universidad tecnológica nacional,agronomía,2020-12-02,male,20,arroyo,samanthacoffey@gmail.com,alfred,ward
universidad tecnológica nacional,arquitectura,2020-11-12,female,104,alamo,marshallpatrick@gmail.com,victoria,thompson
universidad tecnológica nacional,medicina,2020-12-04,male,11,9 de julio,smithgabriel@hotmail.com,daniel,schroeder
universidad tecnológica nacional,licenciatura en psicología,2020-11-06,male,8,escuela agricola don bosco,marygibbs@yahoo.com,kevin,knapp
universidad tecnológica nacional,licenciatura en psicología,2020-10-20,female,10,baños termales,aibarra@hotmail.com,cindy,austin
universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-11-05,female,116,estancia las isletas,stevensmith@hotmail.com,karen,cameron
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-12-23,female,55,costa del rio azul,morganjeremy@gmail.com,kristin,perez
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-09-20,female,105,bajo guazu,zachary71@hotmail.com,autumn,meyer
universidad tecnológica nacional,bioquímica,2020-11-05,female,59,el campamento,jon41@yahoo.com,christina,marshall
universidad tecnológica nacional,ingeniería electrónica,2021-01-13,female,95,francisco alvarez,jjackson@hotmail.com,jessica,leach
universidad tecnológica nacional,licenciatura en psicología,2020-12-03,female,43,alvear,bellbrandi@gmail.com,caitlyn,rivera
universidad tecnológica nacional,diseño de imagen y sonido,2020-10-23,male,8,campo horquesco,vincentjennifer@hotmail.com,todd,lambert
universidad tecnológica nacional,agronomía,2020-10-21,female,61,alto de las plumas,melissamoore@gmail.com,melissa,solis
universidad tecnológica nacional,licenciatura en administración,2020-11-20,male,7,apeadero guanacache,vancejonathan@gmail.com,matthew,collins
universidad tecnológica nacional,ciencias veterinarias,2020-11-18,male,75,colonia abate,hulldarlene@yahoo.com,jorge,barton
universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2021-01-31,female,2,olascoaga,elizabethmarshall@yahoo.com,andrea,rivera
universidad tecnológica nacional,licenciatura en administración,2020-12-01,male,113,colonia los tres usaris,florestyler@hotmail.com,matthew,hayes
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-09-07,female,19,la colina,joshuanorman@hotmail.com,donna,wood
universidad tecnológica nacional,ciencias veterinarias,2020-10-25,male,96,claudio c molina,jasontrevino@yahoo.com,stanley,johns
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-10-10,female,51,campo largo,stephen84@gmail.com,jordan,jimenez
universidad tecnológica nacional,ingeniería en informática,2021-01-17,female,54,villa angelica,darren74@gmail.com,heather,spears
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021-01-08,male,7,albardon,robersonalfred@gmail.com,joseph,johnson
universidad tecnológica nacional,técnico para bioterios,2020-11-20,female,100,3 de mayo,andreaallen@gmail.com,lori,riley
universidad tecnológica nacional,técnico para bioterios,2020-12-02,female,68,balneario chapalco,zbowers@yahoo.com,erica,hopkins
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-09-10,female,33,campo rodriguez,chenmatthew@hotmail.com,lori,chang
universidad tecnológica nacional,ciencias veterinarias,2020-09-18,female,6,agua blanca,brooke30@hotmail.com,melissa,stanley
universidad tecnológica nacional,licenciatura en sociología,2020-10-26,male,50,el espinillo,amanda08@yahoo.com,thomas,wood
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2021-01-31,male,4,adrogue,qtaylor@hotmail.com,james,rogers
universidad tecnológica nacional,ciencias veterinarias,2020-12-09,male,21,rincon de milberg,gcompton@yahoo.com,samuel,wilson
universidad tecnológica nacional,medicina,2020-09-03,female,33,colonia beaufort,reidchad@gmail.com,michele,cross
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-12-01,male,100,la lucila del mar,bnguyen@yahoo.com,john,jones
universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-11-16,male,88,el perdido est jose guisasola,phillipwilliams@hotmail.com,leslie,williamson
universidad tecnológica nacional,arquitectura,2020-12-31,female,3,estacion coronel pringles,samanthariley@hotmail.com,jessica,burgess
universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-10-20,female,50,12 de octubre,oortiz@yahoo.com,carrie,porter
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-11-12,female,28,campo el jacaranda,matthew23@gmail.com,maria,kelly
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-24,male,59,desvio boero,wardstephen@gmail.com,thomas,jimenez
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-11-30,male,58,angel gallardo,annegarcia@hotmail.com,bryan,aguirre
universidad tecnológica nacional,licenciatura en terapia ocupacional,2021-01-27,female,3,la punta,bsmith@yahoo.com,catherine,morales
universidad tecnológica nacional,ciencias veterinarias,2020-10-27,female,49,argentina belvedere,sabrinawilliams@hotmail.com,diana,cabrera
universidad tecnológica nacional,licenciatura en sociología,2020-11-12,male,115,bajo de los sueldos,cheryl60@yahoo.com,ralph,robinson
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-11-10,male,25,carrizal norte,madisonwalker@hotmail.com,chad,hodge
universidad tecnológica nacional,licenciatura en artes,2020-10-20,male,30,acostilla,ccook@yahoo.com,john,edwards
universidad tecnológica nacional,licenciatura en ciencias geológicas,2021-01-28,female,88,colonia 1 de mayo,parkerrobert@hotmail.com,kathleen,hopkins
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-12-27,female,58,abra,hodgerose@hotmail.com,amy,davis
universidad tecnológica nacional,técnico para bioterios,2020-12-27,male,61,bella union paraje,johnreid@gmail.com,evan,brown
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-12-28,female,100,kilometro 77,marcusbrown@gmail.com,jeanne,christian
universidad tecnológica nacional,farmacia,2020-10-20,female,20,ernestina,scottsoto@gmail.com,hannah,patterson
